PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,YEAR
Aaron McKie,PHI,31,6-5,209,Temple,USA,1994,1,17,75,9.2,3.4,2.6,-1.3,2.20%,10.20%,15.90%,55.00%,16.90%,2003
Aaron Williams,NJN,32,6-9,240,Xavier,USA,Undrafted,Undrafted,Undrafted,72,6.3,4.1,1.1,-1.4,7.80%,15.10%,17.10%,54.90%,10.90%,2003
Adonal Foyle,GSW,29,6-10,265,Colgate,St. Vincent &...,1997,1,8,44,3.1,3.8,0.4,-6.9,9.40%,19.70%,13.20%,47.10%,5.00%,2003
Adrian Griffin,HOU,29,6-5,230,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,0.6,1,0.5,-15.5,0.90%,14.30%,8.70%,27.80%,13.20%,2003
Al Harrington,IND,24,6-9,250,None,USA,1998,1,25,79,13.3,6.4,1.7,1.5,7.00%,15.50%,22.50%,51.40%,10.70%,2003
Alan Henderson,ATL,31,6-9,240,Indiana,USA,1995,1,16,6,4,3.5,0.3,-21.8,18.30%,14.10%,18.50%,50.80%,5.60%,2003
Alex Garcia,SAS,24,6-3,195,None,Brazil,Undrafted,Undrafted,Undrafted,2,1.5,0,0,8.6,0.00%,0.00%,26.50%,19.00%,0.00%,2003
Allan Houston,NYK,33,6-6,200,Tennessee,USA,1993,1,11,50,18.5,2.4,2,-0.7,1.20%,5.60%,24.40%,53.90%,10.10%,2003
Allen Iverson,PHI,29,6-0,165,Georgetown,USA,1996,1,1,48,26.4,3.7,6.8,-2.5,1.70%,6.90%,33.90%,47.80%,32.50%,2003
Alonzo Mourning,NJN,34,6-10,261,Georgetown,USA,1992,1,2,12,8,2.3,0.7,-5.5,3.80%,8.40%,20.10%,55.80%,7.30%,2003
Alton Ford,HOU,23,6-9,280,Houston,USA,2001,2,50,9,1.7,1.2,0.3,3.7,7.30%,21.10%,17.80%,55.00%,15.80%,2003
Alvin Williams,TOR,29,6-5,185,Villanova,USA,1997,2,47,56,8.8,2.7,4,-6.5,1.10%,7.80%,16.80%,46.30%,23.70%,2003
Amal McCaskill,PHI,30,6-11,235,Marquette,USA,1996,2,49,59,1.9,2.3,0.3,-3.7,8.00%,13.50%,11.20%,43.80%,5.50%,2003
Amar'e Stoudemire,PHX,21,6-10,245,None,USA,2002,1,9,55,20.6,9,1.4,-2.9,7.90%,16.70%,27.30%,53.60%,7.00%,2003
Andre Miller,DEN,28,6-2,200,Utah,USA,1999,1,8,82,14.8,4.5,6.1,3,4.50%,8.50%,20.40%,54.10%,28.30%,2003
Andrei Kirilenko,UTA,23,6-9,225,None,Russia,1999,1,24,78,16.5,8.1,3.1,1.8,8.30%,15.20%,21.50%,55.90%,15.20%,2003
Andrew DeClercq,ORL,31,6-10,255,Florida,USA,1995,2,34,71,3.2,4.5,0.6,-3.3,10.80%,15.80%,10.10%,52.60%,5.40%,2003
Anfernee Hardaway,NYK,32,6-7,215,Memphis,USA,1993,1,3,76,9.2,3.8,2.3,-2.2,3.30%,10.50%,18.00%,47.20%,14.10%,2003
Ansu Sesay,SEA,27,6-9,225,Mississippi,USA,1998,2,30,57,3.5,1.6,0.3,-1.6,7.30%,8.70%,16.80%,50.40%,5.70%,2003
Antawn Jamison,DAL,28,6-9,225,North Carolina,USA,1998,1,4,82,14.8,6.3,0.9,5.6,9.30%,12.10%,20.30%,58.10%,4.70%,2003
Anthony Carter,SAS,29,6-2,195,Hawaii,USA,Undrafted,Undrafted,Undrafted,5,4.4,2.2,2.4,0.6,2.20%,8.50%,24.70%,29.70%,27.90%,2003
Anthony Goldwire,NJN,32,6-2,182,Houston,USA,1994,2,52,11,1.5,0.6,1,0,1.20%,7.70%,13.40%,37.90%,21.60%,2003
Anthony Johnson,IND,29,6-3,190,College of Charleston,USA,1997,2,39,73,6.2,1.8,2.8,-0.8,1.80%,6.90%,15.20%,49.70%,23.10%,2003
Anthony Peeler,SAC,34,6-4,208,Missouri,USA,1992,1,15,75,5.7,2,1.6,4.6,2.20%,8.50%,14.30%,57.50%,13.90%,2003
Antoine Walker,DAL,27,6-9,245,Kentucky,USA,1996,1,6,82,14,8.3,4.5,2.1,6.60%,17.00%,21.30%,47.50%,19.50%,2003
Antonio Daniels,SEA,29,6-4,205,Bowling Green,USA,1997,1,4,71,8,2,4.2,1.2,1.60%,7.90%,16.10%,59.60%,32.40%,2003
Antonio Davis,CHI,35,6-9,230,Texas-El Paso,USA,1990,2,45,80,8.9,8.4,1.7,-5.8,7.60%,18.00%,15.50%,46.50%,9.30%,2003
Antonio McDyess,PHX,29,6-9,245,Alabama,USA,1995,1,2,42,6.9,6.1,0.9,-0.1,8.00%,19.90%,17.30%,48.60%,6.60%,2003
Austin Croshere,IND,29,6-10,242,Providence,USA,1997,1,12,77,5,3.2,0.7,2.2,6.30%,18.50%,18.30%,54.90%,9.60%,2003
Avery Johnson,GSW,39,5-11,185,Southern,USA,Undrafted,Undrafted,Undrafted,46,4.6,0.7,2.4,-5.6,0.50%,4.80%,20.70%,45.40%,31.10%,2003
Baron Davis,NOH,25,6-3,223,UCLA,USA,1999,1,3,67,22.9,4.3,7.5,3.5,2.40%,8.40%,29.50%,49.20%,36.30%,2003
Ben Handlogten,UTA,30,6-10,240,Western Michigan,USA,Undrafted,Undrafted,Undrafted,17,4,3.2,0.4,-1.7,13.80%,21.40%,18.10%,57.70%,6.30%,2003
Ben Wallace,DET,29,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,81,9.5,12.4,1.7,7.3,10.80%,22.20%,15.00%,44.10%,7.50%,2003
Bimbo Coles,MIA,36,6-2,182,Virginia Tech,USA,1990,2,40,22,1.3,0.5,0.7,-16.4,1.20%,5.20%,12.40%,38.20%,16.30%,2003
Bo Outlaw,MEM,33,6-8,220,Houston,USA,Undrafted,Undrafted,Undrafted,82,4.6,4.2,1.1,6.1,7.70%,13.30%,12.10%,52.20%,9.30%,2003
Bob Sura,ATL,31,6-5,200,Florida State,USA,1995,1,17,80,7.5,4.1,2.9,0.3,6.10%,13.80%,18.70%,51.00%,24.00%,2003
Bobby Jackson,SAC,31,6-1,185,Minnesota,USA,1997,1,23,50,13.8,3.5,2.1,6.1,4.50%,9.80%,25.90%,53.80%,17.10%,2003
Bobby Simmons,LAC,24,6-6,235,DePaul,USA,2001,2,41,56,7.8,4.7,1.7,-1.3,8.20%,11.10%,16.60%,48.80%,11.70%,2003
Bonzi Wells,MEM,27,6-5,210,Ball State,USA,1998,1,11,72,12.3,3.6,1.9,0.5,4.20%,9.90%,25.90%,47.60%,13.60%,2003
Boris Diaw,ATL,22,6-8,215,None,France,2003,1,21,76,4.5,4.5,2.4,-5.9,6.00%,12.20%,11.20%,48.30%,15.40%,2003
Bostjan Nachbar,HOU,23,6-9,221,None,Slovenia,2002,1,15,45,3.1,1.6,0.7,3.4,1.80%,11.90%,15.30%,47.70%,10.30%,2003
Brad Miller,SAC,28,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,72,14.1,10.3,4.3,9.9,7.80%,20.30%,17.30%,57.90%,17.90%,2003
Brandon Armstrong,NJN,24,6-5,185,Pepperdine,USA,2001,1,23,56,2.7,0.8,0.3,-14.7,3.00%,8.10%,21.60%,42.70%,6.50%,2003
Brandon Hunter,BOS,23,6-7,260,Ohio,USA,2003,2,56,36,3.5,3.3,0.5,0.1,11.60%,16.90%,16.30%,46.30%,7.70%,2003
Brendan Haywood,WAS,24,7-0,268,North Carolina,USA,2001,1,20,77,7,5,0.6,-2.5,11.80%,14.10%,16.80%,54.70%,5.10%,2003
Brent Barry,SEA,32,6-6,203,Oregon State,USA,1995,1,15,59,10.8,3.5,5.8,0.4,1.20%,10.40%,15.20%,66.80%,29.00%,2003
Brevin Knight,MIL,28,5-10,170,Stanford,USA,1997,1,16,56,4.7,2,3.6,-5.5,1.40%,10.10%,15.30%,47.50%,34.30%,2003
Brian Cardinal,GSW,27,6-8,245,Purdue,USA,2000,2,44,76,9.6,4.2,1.4,4.3,6.30%,13.80%,18.30%,62.60%,10.60%,2003
Brian Cook,LAL,23,6-9,234,Illinois,USA,2003,1,24,35,4.4,2.9,0.6,-1.7,6.30%,17.20%,16.60%,50.50%,7.90%,2003
Brian Grant,MIA,32,6-9,254,Xavier,USA,1994,1,8,76,8.7,6.9,0.9,1,7.60%,16.20%,15.00%,50.20%,5.10%,2003
Brian Scalabrine,NJN,26,6-9,240,Southern California,USA,2001,2,34,69,3.5,2.5,0.9,-1.8,4.70%,14.50%,14.70%,48.20%,12.30%,2003
Brian Skinner,MIL,28,6-9,265,Baylor,USA,1998,1,22,56,10.5,7.3,0.9,-1.4,7.60%,18.70%,18.70%,51.30%,5.20%,2003
Britton Johnsen,ORL,24,6-10,210,Utah,USA,Undrafted,Undrafted,Undrafted,20,2.1,2.3,0.6,-15.7,4.60%,11.00%,12.40%,31.80%,7.20%,2003
Bruce Bowen,SAS,33,6-7,200,California State-Fullerton,USA,Undrafted,Undrafted,Undrafted,82,6.9,3.1,1.4,8.3,1.80%,7.70%,11.30%,51.20%,6.80%,2003
Bruno Sundov,NYK,24,7-2,246,None,Croatia,1998,2,35,5,2.2,2,0.2,-15.3,5.70%,24.20%,22.90%,43.50%,9.10%,2003
Bryce Drew,NOH,29,6-3,184,Valparaiso,USA,1998,1,16,15,0.8,0.4,0.9,-15.2,0.00%,9.00%,14.70%,31.10%,26.00%,2003
Bryon Russell,LAL,33,6-7,225,Long Beach State,USA,1993,2,45,72,4,2,1,2.1,3.30%,12.40%,14.60%,53.00%,12.20%,2003
Calbert Cheaney,GSW,32,6-7,217,Indiana,USA,1993,1,6,79,7.6,3.3,1.7,0.5,3.90%,9.20%,15.60%,49.30%,11.20%,2003
Calvin Booth,SEA,28,6-11,231,Penn State,USA,1999,2,35,71,4.9,3.9,0.4,-2.3,7.10%,15.60%,14.20%,52.10%,3.70%,2003
Carlos Arroyo,UTA,24,6-2,202,Florida International,Puerto Rico,Undrafted,Undrafted,Undrafted,71,12.6,2.6,5,-0.9,2.10%,7.90%,23.30%,51.70%,32.90%,2003
Carlos Boozer,CLE,22,6-9,258,Duke,USA,2002,2,34,75,15.5,11.4,2,0.8,8.70%,23.80%,19.60%,56.70%,9.80%,2003
Carmelo Anthony,DEN,20,6-8,220,Syracuse,USA,2003,1,3,82,21,6.1,2.8,1.1,6.10%,10.80%,28.20%,50.90%,13.40%,2003
Caron Butler,MIA,24,6-7,217,Connecticut,USA,2002,1,10,68,9.2,4.8,1.9,1.7,4.60%,12.10%,18.30%,44.00%,10.60%,2003
Casey Jacobsen,PHX,23,6-6,215,Stanford,USA,2002,1,22,78,6,2.6,1.3,-2.6,2.30%,8.60%,11.60%,57.00%,8.40%,2003
Cezary Trybanski,NYK,24,7-2,240,None,Poland,Undrafted,Undrafted,Undrafted,7,0.1,0.1,0,-50,0.00%,10.00%,23.30%,10.20%,0.00%,2003
Charles Oakley,HOU,40,6-9,245,Virginia Union,USA,1985,1,9,7,1.3,0.7,0.3,9.4,0.00%,20.00%,16.10%,52.10%,10.00%,2003
Charlie Ward,SAS,33,6-2,185,Florida State,USA,1994,1,26,71,6,2,3,-2.4,1.00%,10.50%,18.00%,52.80%,30.30%,2003
